qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
2171 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2181 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2191 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2201 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2211 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2221 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2231 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2241 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2251 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2261 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2271 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2281 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2291 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2301 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2311 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2321 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2331 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2341 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2351 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2361 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2371 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2381 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2391 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2401 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2411 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2421 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2431 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2441 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2451 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2461 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2471 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2481 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2491 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2501 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3]*lab2:4 | [4] lab2:3
2511 | [0] init:2 | [1] test:2 | [2] lab2:3 | [3] lab2:3 | [4]*lab2:4
2521 | [0] init:2 | [1] test:2 | [2]*lab2:4 | [3] lab2:3 | [4] lab2:3
2530 | [0] init:2 | [1] test:3 | [2] lab2:5 | [3]*lab2:4 | [4] lab2:3
2537 | [0] init:2 | [1] test:3 | [2] lab2:5 | [3] lab2:5 | [4]*lab2:4
2546 | [0] init:2 | [1]*test:4 | [2] lab2:5 | [3] lab2:5 | [4] lab2:5
